region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,comes_furnished,laundry_options,parking_options,state
syracuse,1437,apartment,840,1,1,1,1,0,0,w/d in unit,detached garage,ny
flint,1003,apartment,1150,2,2,1,1,1,0,laundry in bldg,carport,mi
waco,1198,apartment,1004,2,2,1,1,0,0,NA,NA,tx
san diego,2495,house,1100,2,1,0,0,0,0,w/d in unit,off-street parking,ca
dallas / fort worth,1860,apartment,1095,2,0,0,0,1,0,NA,NA,tx
reading,1330,apartment,1130,2,2,1,1,0,0,w/d hookups,off-street parking,pa
kenosha-racine,936,apartment,1375,3,2,0,0,1,0,NA,NA,wi
holland,1050,townhouse,1017,2,1.5,1,1,1,0,w/d in unit,carport,mi
tyler / east TX,1335,manufactured,1568,4,2,1,1,1,0,w/d hookups,off-street parking,tx
south coast,1800,apartment,1200,2,2,0,0,0,0,NA,off-street parking,ma
boulder,1600,apartment,830,2,1,1,0,0,0,laundry on site,NA,co
fayetteville,850,duplex,1200,3,2,1,1,0,0,w/d in unit,attached garage,ar
lubbock,1025,apartment,1073,2,2,1,1,1,0,w/d hookups,attached garage,tx
little rock,1295,apartment,1170,2,2,1,1,0,0,w/d in unit,carport,ar
baltimore,921,townhouse,783,2,1,1,1,1,0,no laundry on site,NA,md
provo / orem,1269,apartment,942,2,2,0,0,1,0,NA,NA,ut
cleveland,700,apartment,800,2,1,0,0,1,0,laundry in bldg,off-street parking,oh
san marcos,885,apartment,633,1,1,1,1,1,0,w/d hookups,NA,tx
birmingham,975,apartment,1009,2,1,1,1,1,0,laundry on site,off-street parking,al
rhode island,1726,apartment,790,1,1,1,1,1,0,w/d in unit,NA,ri
boston,1500,apartment,800,2,1,0,0,1,0,laundry in bldg,off-street parking,ma
dayton / springfield,749,apartment,985,2,1.5,1,1,1,0,NA,carport,oh
memphis,649,apartment,948,2,2,1,1,1,0,w/d hookups,off-street parking,tn
delaware,1062,apartment,820,2,1,0,0,1,0,NA,NA,de
chattanooga,1600,apartment,1400,2,2,0,0,0,0,w/d in unit,off-street parking,tn
evansville,1140,apartment,1217,2,2,0,0,1,0,NA,NA,in
gulfport / biloxi,900,house,1120,3,2,0,0,1,0,w/d hookups,carport,ms
"quad cities, IA/IL",865,apartment,1500,3,1.5,0,0,1,0,NA,NA,il
frederick,1158,apartment,695,1,1,1,1,1,0,NA,NA,md
harrisonburg,475,apartment,1500,1,2,1,1,1,0,w/d in unit,off-street parking,va
oklahoma city,535,apartment,816,2,1,0,0,1,0,NA,NA,ok
columbus,399,apartment,1376,4,4,0,0,1,0,NA,NA,ga
fort collins / north CO,1334,apartment,790,1,1,1,1,0,0,w/d in unit,NA,co
new haven,1000,apartment,840,2,1,0,0,1,0,laundry on site,off-street parking,ct
redding,885,apartment,640,1,1,0,0,1,0,NA,carport,ca
cincinnati,999,apartment,1000,2,2,1,1,1,0,w/d hookups,off-street parking,oh
greenville / upstate,825,apartment,875,2,1,1,1,1,0,laundry on site,off-street parking,sc
ventura county,2119,apartment,860,2,1.5,1,1,0,0,laundry on site,carport,ca
gainesville,493,apartment,1311,3,3,0,0,0,1,w/d in unit,street parking,fl
des moines,930,townhouse,1114,2,2.5,1,1,1,0,w/d hookups,detached garage,ia
san diego,2845,apartment,1025,2,2,0,0,1,0,laundry on site,carport,ca
indianapolis,650,apartment,702,1,1,0,0,1,0,laundry on site,off-street parking,in
