region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,comes_furnished,laundry_options,parking_options,state
milwaukee,795,apartment,420,0,1,1,0,1,0,laundry in bldg,NA,wi
minneapolis / st paul,1602,apartment,660,1,1,1,1,0,0,w/d in unit,NA,mn
baton rouge,855,apartment,840,2,1,1,1,1,0,NA,NA,la
lansing,965,apartment,687,1,1,1,1,1,0,laundry in bldg,NA,mi
brownsville,1050,apartment,1300,3,2,1,1,1,0,NA,NA,tx
reno / tahoe,1095,apartment,708,1,1,1,1,1,0,w/d in unit,carport,ca
"kansas city, MO",1349,apartment,1108,2,2,1,1,0,0,w/d in unit,attached garage,ks
"washington, DC",1550,apartment,722,1,1,1,1,1,0,w/d in unit,detached garage,dc
macon / warner robins,900,apartment,2050,3,2,0,0,1,0,NA,NA,ga
little rock,745,apartment,734,1,1,1,1,0,1,w/d in unit,NA,ar
sierra vista,699,apartment,650,2,2,1,1,1,0,laundry on site,carport,az
philadelphia,1525,apartment,752,1,1,1,1,1,0,NA,NA,pa
ventura county,1795,apartment,520,1,1,1,1,1,0,w/d in unit,carport,ca
annapolis,1305,apartment,805,1,1,1,1,1,0,NA,NA,md
jackson,775,apartment,1089,2,2,0,0,1,0,NA,NA,ms
baton rouge,895,apartment,920,2,1.5,1,1,1,0,w/d hookups,off-street parking,la
kenosha-racine,750,apartment,710,1,1,1,1,1,0,NA,off-street parking,wi
"washington, DC",1585,apartment,875,2,1,0,0,1,0,NA,NA,dc
delaware,1420,apartment,1000,2,2,1,1,1,0,w/d in unit,off-street parking,de
cleveland,2300,duplex,2946,2,2,0,0,1,0,w/d in unit,off-street parking,oh
helena,1500,apartment,850,1,1,0,1,0,1,no laundry on site,off-street parking,mt
austin,1692,house,1440,3,2,1,1,0,0,w/d hookups,attached garage,tx
jackson,1214,apartment,927,1,0,1,1,1,0,NA,NA,ms
san diego,2310,apartment,1247,2,2.5,1,1,0,0,w/d in unit,detached garage,ca
klamath falls,500,apartment,425,0,1,0,0,0,0,laundry in bldg,street parking,or
columbus,499,apartment,965,2,2,0,0,1,0,NA,NA,ga
columbia,825,apartment,1150,2,1.5,1,1,1,0,w/d hookups,NA,sc
stockton,1300,apartment,903,2,1,1,1,1,0,laundry on site,carport,ca
santa maria,1408,apartment,655,1,1,1,1,1,0,laundry in bldg,carport,ca
detroit metro,875,townhouse,950,2,1,1,1,1,0,w/d hookups,NA,mi
eugene,1150,house,556,1,1,1,0,0,0,w/d in unit,off-street parking,or
san antonio,855,apartment,740,1,1,1,1,0,0,w/d hookups,NA,tx
gainesville,1589,apartment,1275,2,2,1,1,1,0,w/d in unit,NA,fl
ventura county,3700,house,2500,4,3,1,1,1,0,w/d in unit,attached garage,ca
new orleans,827,apartment,950,2,2,1,1,0,0,w/d in unit,off-street parking,la
southwest michigan,589,apartment,573,1,1,1,1,1,0,laundry on site,off-street parking,mi
san antonio,2134,apartment,1895,3,2,1,1,0,0,w/d hookups,NA,tx
manhattan,735,apartment,825,2,1.5,1,1,1,0,laundry in bldg,off-street parking,ks
ft myers / SW florida,970,apartment,757,1,1,1,1,1,0,w/d in unit,street parking,fl
long island,3000,duplex,1800,2,2,1,0,1,0,w/d in unit,off-street parking,ny
rochester,919,apartment,739,1,1,1,0,1,0,laundry in bldg,off-street parking,ny
baltimore,1252,apartment,684,0,1,1,1,0,1,w/d in unit,attached garage,md
"washington, DC",1975,apartment,885,2,1,0,0,1,0,NA,NA,dc
nashville,3500,house,3000,4,3.5,0,0,0,0,w/d hookups,attached garage,tn
space coast,1025,apartment,1000,2,2,1,1,1,0,w/d in unit,NA,fl
ventura county,2745,apartment,1407,3,2,1,1,1,0,w/d in unit,carport,ca
asheville,1470,apartment,1311,3,2,1,1,1,0,w/d in unit,off-street parking,nc
atlanta,1240,apartment,1248,2,2,1,1,1,0,NA,NA,ga
"quad cities, IA/IL",975,apartment,1034,2,1,1,1,1,0,laundry in bldg,NA,il
rochester,850,apartment,950,2,1,1,1,1,0,laundry in bldg,off-street parking,mn
okaloosa / walton,1510,apartment,1115,2,2,1,1,1,0,w/d hookups,NA,fl
richmond,1126,apartment,900,1,1,1,1,1,0,w/d in unit,off-street parking,va
tucson,759,apartment,754,2,1,0,0,1,0,laundry on site,NA,az
fargo / moorhead,875,apartment,1200,3,2,1,0,1,0,w/d hookups,detached garage,mn
los angeles,3250,house,1535,4,2,1,1,1,0,w/d hookups,detached garage,ca
ventura county,2240,apartment,1025,3,2,0,0,1,0,NA,NA,ca
"st louis, MO",875,flat,1300,3,1,1,1,1,0,w/d hookups,detached garage,il
rochester,1378,apartment,1060,2,2,1,1,1,0,w/d hookups,off-street parking,ny
lexington,809,apartment,900,2,2,1,1,1,0,w/d hookups,off-street parking,ky
meridian,599,apartment,700,1,1,1,1,0,0,laundry on site,off-street parking,ms
grand rapids,1025,apartment,684,1,1,1,1,0,0,laundry in bldg,carport,mi
ann arbor,1349,apartment,950,2,2,1,1,0,0,w/d in unit,off-street parking,mi
kokomo,709,townhouse,960,2,1.5,1,1,1,0,w/d hookups,NA,in
sarasota-bradenton,1400,condo,990,2,2,0,0,0,1,w/d in unit,off-street parking,fl
champaign urbana,724,apartment,1104,3,2,1,1,1,0,w/d hookups,off-street parking,il
austin,836,apartment,750,1,1,0,1,1,0,w/d hookups,off-street parking,tx
lubbock,1150,house,1300,3,2,1,1,0,0,w/d hookups,attached garage,tx
jacksonville,570,apartment,594,1,1,1,1,1,0,laundry on site,off-street parking,nc
janesville,1179,apartment,1040,3,1,0,0,1,0,w/d in unit,NA,wi
akron / canton,829,apartment,1050,2,2,1,1,1,0,NA,NA,oh
amarillo,509,apartment,700,2,2,1,1,1,1,w/d in unit,off-street parking,tx
orlando,1425,apartment,1307,3,2,0,0,1,0,NA,NA,fl
lincoln,900,apartment,842,2,1,1,0,1,0,laundry in bldg,detached garage,ne
mobile,750,apartment,600,1,1,1,1,1,0,w/d hookups,NA,al
charleston,1999,apartment,1420,3,2,1,1,1,0,w/d in unit,off-street parking,sc
northwest GA,918,apartment,960,2,1,1,1,1,0,NA,NA,ga
springfield,615,apartment,843,2,1,1,1,1,0,laundry on site,off-street parking,mo
asheville,1455,apartment,703,1,1,0,0,1,0,NA,NA,nc
wyoming,825,loft,900,2,1,0,0,0,0,NA,street parking,wy
treasure coast,1480,apartment,1150,2,1,0,0,1,0,NA,NA,fl
"washington, DC",2697,apartment,762,1,1,1,1,1,0,w/d in unit,attached garage,dc
logan,1239,apartment,1091,2,2,0,0,1,0,NA,NA,ut
orlando,1650,house,2400,4,2.5,0,0,1,0,w/d hookups,attached garage,fl
college station,720,apartment,846,2,1.5,1,1,1,0,laundry on site,NA,tx
richmond,1805,apartment,1515,3,2.5,1,1,1,0,w/d in unit,detached garage,va
savannah / hinesville,1106,apartment,1133,2,2,1,1,1,0,NA,attached garage,ga
albuquerque,854,apartment,1125,3,2,1,1,1,0,laundry on site,off-street parking,nm
reno / tahoe,1399,apartment,932,3,1,1,1,1,0,w/d in unit,NA,nv
new hampshire,895,apartment,600,0,1,1,0,1,0,no laundry on site,off-street parking,nh
columbus,675,apartment,950,2,1.5,1,1,1,0,w/d hookups,off-street parking,oh
oklahoma city,625,apartment,1081,2,2,0,0,1,0,NA,NA,ok
jacksonville,1151,apartment,1176,2,2,1,1,1,0,w/d in unit,NA,fl
billings,89.691,apartment,596,1,1,1,1,0,0,w/d in unit,attached garage,mt
tallahassee,799,apartment,954,2,2,1,1,1,0,w/d hookups,NA,fl
inland empire,1480,apartment,801,2,1,0,0,1,0,NA,NA,ca
austin,1428,apartment,713,1,1,0,1,1,0,laundry on site,NA,tx
zanesville / cambridge,956,apartment,1220,3,1.5,1,1,1,0,w/d hookups,off-street parking,oh
tulsa,997,apartment,1012,2,2,1,1,1,0,w/d hookups,NA,ok
cedar rapids,800,house,7342.58999999996,2,1,0,1,0,1,w/d hookups,detached garage,ia
kennewick-pasco-richland,899,apartment,860,2,1,1,1,0,0,w/d in unit,NA,wa
hartford,1200,apartment,1200,3,1,0,0,0,0,w/d in unit,off-street parking,ct
cumberland valley,895,apartment,1000,2,1,0,0,1,0,w/d in unit,street parking,md
rockford,650,apartment,750,2,1,0,0,1,0,no laundry on site,off-street parking,il
salt lake city,1311,apartment,1113,2,2,0,0,1,0,NA,NA,ut
lancaster,995,house,1630,3,2,0,0,0,0,w/d in unit,off-street parking,pa
denver,1320,apartment,570,1,1,1,1,1,0,w/d in unit,NA,co
eastern CT,1405,apartment,794,1,1,1,1,1,0,w/d in unit,off-street parking,ct
houston,1180,apartment,852,2,1,1,1,1,0,w/d in unit,off-street parking,tx
stockton,2000,house,1245,3,2,0,0,0,0,w/d hookups,attached garage,ca
louisville,799,apartment,992,2,1,1,1,1,0,w/d hookups,off-street parking,ky
sioux city,715,apartment,594,2,1,0,0,1,0,NA,NA,ia
victoria,679,apartment,644,1,1,1,1,1,0,laundry on site,NA,tx
san antonio,996,apartment,735,1,1,0,0,1,0,NA,NA,tx
stockton,1125,apartment,682,1,1,1,1,1,0,laundry on site,carport,ca
columbia,545,house,1525,3,2,0,1,1,0,NA,attached garage,sc
san diego,1950,house,768,1,1,1,0,0,0,w/d in unit,off-street parking,ca
york,696,house,2172,4,2,1,1,1,0,NA,NA,pa
monterey bay,3000,house,1466,3,2,1,1,1,0,laundry in bldg,NA,ca
south jersey,1811,apartment,1149,2,2,1,1,1,0,w/d in unit,NA,nj
anchorage / mat-su,700,house,2136,2,2,1,1,1,1,w/d in unit,attached garage,ak
central NJ,1700,apartment,750,1,1,1,1,0,0,laundry in bldg,off-street parking,nj
lakeland,831,apartment,556,1,1,1,1,1,0,w/d in unit,NA,fl
lakeland,196,apartment,900,2,2,1,1,1,0,w/d hookups,off-street parking,fl
okaloosa / walton,1269,apartment,783,1,1,1,1,1,0,w/d hookups,NA,fl
louisville,719,apartment,600,1,1,1,1,1,0,w/d hookups,off-street parking,ky
stockton,1625,townhouse,1400,2,2.5,1,1,1,0,w/d hookups,carport,ca
new haven,1450,apartment,1440,4,1,1,1,1,0,laundry in bldg,off-street parking,ct
holland,799,townhouse,864,2,1.5,1,1,1,0,w/d in unit,carport,mi
austin,1246,apartment,391,0,1,1,1,1,0,laundry in bldg,NA,tx
daytona beach,1563,apartment,1188,2,2,1,1,0,0,w/d in unit,off-street parking,fl
lincoln,1595,townhouse,2300,3,3,1,1,0,0,w/d in unit,attached garage,ne
daytona beach,933,apartment,1102,3,2,1,1,1,0,w/d in unit,off-street parking,fl
chicago,1690,condo,850,2,1,1,0,0,0,w/d in unit,street parking,il
odessa / midland,1594,apartment,839,1,1,1,1,1,0,w/d in unit,attached garage,tx
ft myers / SW florida,890,apartment,541,1,1,1,1,1,0,w/d in unit,street parking,fl
birmingham,999,house,1601,3,2,1,1,1,0,w/d hookups,attached garage,al
milwaukee,830,apartment,649,1,1,0,0,0,0,laundry in bldg,off-street parking,wi
bismarck,815,apartment,900,2,1,0,0,0,0,w/d in unit,detached garage,nd
greenville / upstate,1025,apartment,1100,2,2,1,1,1,0,w/d in unit,NA,sc
rochester,1345,apartment,1320,3,2,1,1,1,0,w/d in unit,attached garage,mn
hawaii,2500,house,2028,3,2,1,1,1,0,NA,NA,hi
tampa bay area,1205,apartment,750,1,1,1,1,1,0,NA,NA,fl
shreveport,920,apartment,1312,2,2,0,1,1,0,w/d hookups,attached garage,la
denver,1765,apartment,1015,2,1,1,1,1,0,w/d in unit,detached garage,co
tulsa,735,apartment,675,1,1,0,0,1,0,NA,NA,ok
florida keys,2752,townhouse,1577,3,2.5,1,1,0,0,w/d in unit,carport,fl
sioux city,955,apartment,953,2,2,1,1,1,0,NA,NA,ia
ann arbor,770,apartment,940,2,1,1,1,1,0,laundry in bldg,off-street parking,mi
ventura county,1785,apartment,728,1,1,0,0,1,0,NA,NA,ca
green bay,631,apartment,500,1,1,0,0,1,0,NA,NA,wi
chicago,2080,apartment,1101,2,2,1,1,0,0,w/d in unit,attached garage,il
stockton,1685,apartment,1045,2,2,1,1,1,0,w/d in unit,carport,ca
gainesville,1555,apartment,921,1,1,1,1,1,0,w/d in unit,attached garage,fl
grand rapids,1600,apartment,1652,4,2.5,1,1,0,0,w/d in unit,off-street parking,mi
south jersey,1600,condo,1000,3,2,0,0,0,0,w/d in unit,off-street parking,nj
topeka,575,apartment,900,2,1,1,1,1,0,laundry on site,off-street parking,ks
st cloud,1554,apartment,1281,3,2,1,1,1,0,NA,NA,mn
huntsville / decatur,950,apartment,768,1,1,1,1,0,0,w/d in unit,off-street parking,al
richmond,1213,townhouse,1252,4,2.5,1,1,1,0,NA,NA,va
seattle-tacoma,1495,apartment,780,1,1,1,1,1,0,w/d in unit,detached garage,wa
columbia,825,apartment,1220,2,2,1,1,1,0,w/d hookups,off-street parking,sc
mohave county,1300,house,1448,3,2,0,0,0,0,w/d in unit,attached garage,az
gainesville,494,apartment,1311,3,3,0,0,1,0,NA,NA,fl
savannah / hinesville,980,apartment,1132,2,2,1,1,1,0,w/d hookups,detached garage,ga
sioux city,768,apartment,736,1,1,1,1,1,0,laundry on site,off-street parking,ia
jackson,615,apartment,641,1,1,0,0,1,0,laundry on site,off-street parking,ms
lancaster,1150,apartment,1104,2,1,0,0,1,0,NA,NA,pa
oklahoma city,1250,house,1398,3,1.5,0,0,1,0,w/d in unit,attached garage,ok
eastern NC,525,duplex,975,2,1,1,1,1,0,w/d hookups,off-street parking,nc
boston,3200,house,2000,4,2,0,0,0,0,w/d hookups,off-street parking,ma
charleston,1150,townhouse,1350,3,1.5,0,0,1,0,NA,NA,sc
new york city,2750,apartment,1250,3,2,1,1,1,0,laundry in bldg,street parking,ny
ft myers / SW florida,1500,condo,980,2,2,0,0,0,0,w/d in unit,NA,fl
montgomery,755,apartment,1100,2,2,1,1,0,0,w/d hookups,NA,al
cincinnati,1295,apartment,900,2,1,0,0,0,1,laundry in bldg,street parking,oh
fredericksburg,995,apartment,902,2,1,0,0,1,0,NA,NA,va
pensacola,850,apartment,800,2,1,0,0,0,0,w/d hookups,NA,fl
portland,1495,apartment,876,2,1,1,1,0,0,w/d in unit,off-street parking,or
greensboro,516,house,1672,3,2.5,0,0,1,0,NA,NA,nc
statesboro,264,house,1296,4,2,1,1,1,1,NA,NA,ga
memphis,875,apartment,830,2,1,1,1,1,0,w/d in unit,off-street parking,tn
chico,1540,house,1476,2,2,0,0,0,0,w/d hookups,NA,ca
treasure coast,1669,townhouse,1807,3,2.5,1,1,1,0,w/d hookups,attached garage,fl
wilmington,1285,apartment,1050,2,2,1,1,1,0,w/d in unit,off-street parking,nc
baton rouge,950,apartment,1188,3,2,1,1,1,0,w/d in unit,off-street parking,la
okaloosa / walton,875,apartment,1023,3,1.5,1,1,1,0,w/d hookups,NA,fl
"washington, DC",1650,condo,780,1,1,0,0,0,1,laundry in bldg,off-street parking,dc
st cloud,860,apartment,850,2,1,1,1,1,0,laundry in bldg,off-street parking,mn
columbia,905,townhouse,1196,3,2.5,1,1,1,0,w/d hookups,street parking,sc
oregon coast,1350,house,940,2,1,0,0,0,0,w/d hookups,attached garage,or
spokane / coeur d'alene,1150,apartment,2000,3,2,1,1,1,0,NA,NA,id
richmond,995,apartment,632,1,1.5,1,1,1,0,w/d in unit,off-street parking,va
nashville,840,apartment,600,1,1,1,1,1,0,w/d in unit,carport,tn
orlando,1299,manufactured,1001,2,2,0,0,1,0,w/d in unit,carport,fl
minneapolis / st paul,2250,apartment,1150,2,2,1,1,1,0,w/d in unit,attached garage,mn
treasure coast,1300,apartment,786,1,1,0,0,1,0,NA,NA,fl
north mississippi,89.691,cottage/cabin,1395,3,3,1,1,1,0,w/d in unit,NA,ms
grand rapids,930,apartment,1000,2,1,1,1,1,0,laundry on site,carport,mi
southern maryland,800,house,1856,3,2,1,1,1,1,w/d in unit,attached garage,md
"washington, DC",2439,apartment,1101,2,2,1,1,0,0,w/d in unit,attached garage,dc
cleveland,1370,apartment,1100,2,2,1,1,1,0,laundry in bldg,NA,oh
rhode island,1200,apartment,900,2,1,1,1,1,0,laundry in bldg,off-street parking,ri
shreveport,800,apartment,1250,3,2,1,1,1,0,laundry on site,off-street parking,la
waco,725,apartment,600,1,1,1,1,0,0,w/d in unit,off-street parking,tx
ventura county,2250,apartment,1188,2,2,1,1,0,0,w/d in unit,carport,ca
college station,460,apartment,320,0,1,1,1,1,0,laundry on site,NA,tx
memphis,659,apartment,950,2,1.5,1,1,1,0,laundry on site,off-street parking,tn
roanoke,890,house,1500,3,1,1,0,1,0,w/d hookups,off-street parking,va
savannah / hinesville,830,apartment,600,1,1,1,1,1,0,laundry on site,NA,ga
greenville / upstate,795,apartment,504,0,1,0,0,1,0,NA,NA,sc
kennewick-pasco-richland,1223,apartment,897,2,1,1,1,0,0,w/d in unit,NA,wa
cleveland,900,house,1198,3,1,0,0,1,0,NA,attached garage,oh
college station,779,apartment,827,2,1.5,1,1,0,0,w/d in unit,street parking,tx
minneapolis / st paul,1640,apartment,1130,2,2,1,0,1,0,w/d in unit,attached garage,mn
flint,785,apartment,1080,3,2,0,0,1,0,NA,NA,mi
myrtle beach,1055,apartment,833,1,1,1,1,1,0,w/d in unit,off-street parking,sc
ann arbor,3995,house,3471,6,5,1,1,0,0,w/d in unit,attached garage,mi
champaign urbana,1575,apartment,845,2,1,0,0,0,1,w/d in unit,carport,il
tampa bay area,1179,apartment,1000,2,2,1,1,1,0,NA,NA,fl
fayetteville,900,townhouse,1295,2,2.5,1,0,0,0,w/d in unit,attached garage,ar
bakersfield,1800,apartment,1552,3,2,1,1,1,0,w/d in unit,attached garage,ca
modesto,1390,apartment,669,1,1,1,1,1,0,w/d in unit,carport,ca
fayetteville,800,house,1100,3,2,1,1,1,0,laundry in bldg,carport,nc
orlando,1485,apartment,792,1,1,1,1,0,0,w/d in unit,attached garage,fl
gulfport / biloxi,675,apartment,852,2,2,1,1,1,0,laundry on site,off-street parking,ms
tampa bay area,995,apartment,1010,2,2,0,0,1,0,NA,NA,fl
annapolis,1650,townhouse,1250,2,2.5,1,1,0,0,w/d in unit,street parking,md
sacramento,1239,apartment,580,1,1,1,1,1,0,w/d in unit,NA,ca
corvallis/albany,800,apartment,600,1,1,1,1,0,0,laundry on site,off-street parking,or
fayetteville,744,apartment,1200,2,1.5,1,1,1,0,w/d hookups,NA,nc
ventura county,2210,apartment,1080,2,2,1,1,1,0,NA,NA,ca
killeen / temple / ft hood,925,apartment,820,2,1,1,1,0,1,w/d in unit,attached garage,tx
oklahoma city,640,apartment,825,2,1,0,0,1,0,NA,NA,ok
greenville / upstate,725,apartment,750,1,1,0,0,0,0,NA,off-street parking,sc
siskiyou county,900,condo,600,1,1,0,0,0,1,laundry on site,off-street parking,ca
little rock,1049,apartment,882,1,1,1,1,0,0,w/d hookups,detached garage,ar
poconos,500,house,915,3,3,0,0,1,0,NA,NA,pa
eastern shore,745,apartment,825,2,1,1,1,1,0,laundry in bldg,off-street parking,md
jackson,605,apartment,572,1,1,0,0,1,0,laundry on site,off-street parking,ms
college station,399,apartment,854,2,2,1,1,0,0,w/d in unit,street parking,tx
north jersey,2758,apartment,1311,3,2,1,1,1,0,w/d in unit,NA,nj
texoma,1099,apartment,934,2,2,1,1,1,0,w/d hookups,NA,ok
cleveland,925,house,1524,2,2.5,0,0,1,0,w/d hookups,detached garage,oh
south bend / michiana,849,apartment,960,2,1,1,1,1,0,laundry in bldg,off-street parking,in
gainesville,940,apartment,987,2,2,1,1,1,0,NA,NA,fl
rochester,935,apartment,760,1,1,1,1,0,0,laundry in bldg,off-street parking,ny
wichita,620,apartment,960,2,1,0,0,1,0,laundry in bldg,street parking,ks
los angeles,3295,apartment,1250,2,2,1,0,0,0,laundry on site,off-street parking,ca
winston-salem,725,apartment,684,1,1,0,0,1,0,NA,NA,nc
columbia,1350,house,1901,4,2,1,1,0,0,w/d hookups,off-street parking,sc
amarillo,799,apartment,300,1,1,1,1,0,1,laundry on site,off-street parking,tx
chicago,1250,apartment,1050,2,1,1,1,1,0,w/d in unit,off-street parking,il
philadelphia,1800,townhouse,1300,3,2,0,1,0,0,w/d in unit,off-street parking,pa
kalamazoo,1010,apartment,918,2,2,1,1,1,0,w/d in unit,off-street parking,mi
madison,940,apartment,904,2,1,1,1,1,0,laundry in bldg,off-street parking,wi
beaumont / port arthur,972,apartment,931,2,1,0,0,1,0,NA,NA,tx
portland,1199,apartment,568,1,1,1,1,1,0,NA,NA,or
des moines,1695,apartment,1100,3,2.5,1,1,1,0,w/d in unit,attached garage,ia
york,950,apartment,1008,2,1,1,1,0,0,w/d in unit,off-street parking,pa
rochester,1199,apartment,1050,2,1,1,0,0,0,w/d in unit,detached garage,mn
"washington, DC",1760,apartment,1252,3,2,1,1,0,0,w/d in unit,off-street parking,dc
worcester / central MA,1220,apartment,2100,3,2,0,0,1,0,NA,NA,ma
las vegas,1625,apartment,1663,2,2,1,1,1,0,w/d in unit,attached garage,nv
tulsa,649,apartment,840,2,1,1,1,1,0,laundry on site,off-street parking,ok
monterey bay,2725,apartment,1013,2,2,1,1,0,0,w/d in unit,carport,ca
south coast,1650,apartment,900,2,1,0,0,0,0,laundry in bldg,off-street parking,ma
birmingham,960,apartment,1150,2,2,1,1,1,0,w/d hookups,off-street parking,al
madison,745,apartment,485,0,1,1,1,0,0,laundry in bldg,off-street parking,wi
fayetteville,695,apartment,770,1,1,1,1,1,0,w/d hookups,off-street parking,nc
dallas / fort worth,1710,apartment,1227,2,2,1,1,1,0,w/d in unit,off-street parking,tx
jackson,875,apartment,1341,3,2,0,0,1,0,NA,NA,tn
charlottesville,1122,apartment,825,2,1,1,1,1,0,laundry on site,off-street parking,va
memphis,649,apartment,875,2,1,1,1,1,0,w/d hookups,off-street parking,tn
jackson,775,apartment,1089,2,2,0,0,1,0,NA,NA,ms
norfolk / hampton roads,1029,apartment,720,1,1,0,0,1,0,NA,NA,va
sacramento,1105,apartment,650,1,1,1,1,1,0,laundry on site,carport,ca
fredericksburg,1355,apartment,987,2,2,1,1,1,0,w/d in unit,NA,va
jackson,915,apartment,950,2,1,1,1,1,0,laundry in bldg,off-street parking,mi
amarillo,650,apartment,860,2,1,1,1,1,0,laundry on site,carport,tx
monroe,638,loft,1140,2,2,1,1,0,0,w/d in unit,off-street parking,la
kennewick-pasco-richland,1700,house,2200,3,2.5,0,0,1,0,w/d in unit,NA,wa
brownsville,825,condo,1060,2,2,1,1,0,0,w/d in unit,off-street parking,tx
omaha / council bluffs,985,apartment,682,1,1,1,1,0,0,w/d in unit,off-street parking,ia
salt lake city,883,apartment,702,1,1,1,1,1,0,w/d hookups,carport,ut
logan,1349,apartment,1250,2,2.5,0,0,1,0,NA,NA,ut
cleveland,1243,apartment,1000,1,1,1,1,1,0,w/d in unit,attached garage,oh
wichita,523,apartment,625,1,1,1,1,0,0,laundry on site,NA,ks
pittsburgh,695,apartment,714,1,1,1,1,1,0,laundry in bldg,off-street parking,pa
gainesville,1450,condo,1499,3,2.5,1,1,0,0,w/d in unit,off-street parking,fl
hudson valley,1200,apartment,725,1,1,0,0,0,0,no laundry on site,off-street parking,ny
lancaster,1153,apartment,1160,2,2,1,1,1,0,w/d in unit,off-street parking,pa
greensboro,819,apartment,811,1,1,0,0,1,0,NA,NA,nc
"quad cities, IA/IL",750,house,1200,3,1,0,0,0,0,w/d in unit,off-street parking,il
nashville,1039,apartment,584,1,1,0,0,1,0,NA,NA,tn
grand rapids,1080,apartment,858,2,1,1,1,1,0,w/d hookups,carport,mi
wichita,650,apartment,930,2,1.5,1,1,1,0,laundry in bldg,off-street parking,ks
tucson,685,apartment,495,1,1,1,1,1,0,laundry on site,carport,az
wichita,675,apartment,950,2,2,1,1,1,0,laundry on site,off-street parking,ks
rhode island,2100,apartment,1134,2,1.5,1,1,1,0,w/d in unit,attached garage,ri
phoenix,1092,apartment,825,1,1,0,0,1,0,NA,NA,az
augusta,1034,apartment,850,1,1,0,0,1,0,NA,NA,ga
cedar rapids,1355,apartment,1185,3,2,1,1,1,0,w/d in unit,off-street parking,ia
greenville / upstate,949,apartment,737,1,1,0,0,1,0,NA,NA,sc
greensboro,795,apartment,1340,2,0,1,1,1,0,NA,NA,nc
dayton / springfield,769,apartment,640,1,1,1,1,1,0,w/d in unit,NA,oh
grand rapids,1129,apartment,1129,2,1.5,1,1,1,0,laundry in bldg,carport,mi
cincinnati,965,apartment,855,2,1,1,1,1,0,w/d hookups,off-street parking,oh
greensboro,1080,apartment,1218,2,2,0,0,1,0,NA,NA,nc
dallas / fort worth,1500,house,1463,3,2,0,0,1,0,w/d hookups,detached garage,tx
atlanta,914,apartment,900,2,2,0,0,1,0,NA,NA,ga
galveston,914,apartment,661,1,1,1,1,1,0,w/d hookups,carport,tx
huntsville / decatur,899,apartment,1000,3,2,1,1,0,0,w/d in unit,off-street parking,al
amarillo,499,apartment,700,2,2,1,1,1,1,w/d in unit,off-street parking,tx
philadelphia,1975,apartment,1119,2,2,1,1,1,0,NA,NA,pa
norfolk / hampton roads,1350,apartment,1490,4,2,1,1,1,0,NA,NA,va
fayetteville,1099,apartment,1249,2,2,1,1,1,0,w/d in unit,NA,nc
birmingham,870,apartment,851,1,1,1,1,1,0,laundry on site,off-street parking,al
manhattan,799,apartment,1012,2,2,0,0,1,0,NA,NA,ks
grand forks,1635,apartment,1468,3,2,1,1,1,0,w/d in unit,attached garage,nd
mankato,610,house,880,3,2,0,0,1,0,NA,NA,mn
inland empire,1570,apartment,671,1,1,0,0,1,0,NA,NA,ca
wichita,611,apartment,738,1,1,1,1,1,0,laundry in bldg,off-street parking,ks
muncie / anderson,750,house,1254,3,2,0,0,1,0,NA,NA,in
reno / tahoe,1518,apartment,1171,2,2,1,1,1,0,w/d in unit,carport,ca
lexington,729,apartment,600,1,1,1,1,1,0,NA,NA,ky
"st louis, MO",800,house,1200,3,2,0,0,1,0,NA,NA,il
palm springs,1700,condo,765,1,1,0,0,0,1,w/d in unit,detached garage,ca
huntsville / decatur,899,apartment,1000,3,2,1,1,0,0,w/d in unit,off-street parking,al
boulder,1364,apartment,611,1,1,0,0,1,0,NA,NA,co
salem,1100,apartment,840,2,1,0,0,1,0,w/d hookups,carport,or
los angeles,3100,apartment,1225,2,2.5,1,1,0,0,w/d in unit,detached garage,ca
hudson valley,1200,apartment,1050,2,2,1,1,1,0,NA,NA,ny
spokane / coeur d'alene,1450,apartment,1133,2,2,1,1,0,0,w/d in unit,carport,id
bloomington-normal,545,apartment,500,1,1,1,1,1,0,laundry on site,off-street parking,il
knoxville,1214,apartment,1056,3,2,1,1,0,0,w/d hookups,NA,tn
cleveland,743,apartment,523,1,1,1,1,1,0,laundry in bldg,off-street parking,oh
tallahassee,974,townhouse,1196,3,2.5,1,1,1,0,w/d in unit,off-street parking,fl
mohave county,805,apartment,919,2,1.5,1,1,1,0,w/d hookups,carport,az
jackson,750,apartment,896,1,1,1,1,1,0,w/d hookups,off-street parking,ms
charlottesville,1400,townhouse,105,3,1.5,0,0,1,0,w/d in unit,NA,va
western massachusetts,675,apartment,287,0,1,1,0,1,0,laundry on site,off-street parking,ma
chicago,1099,apartment,862,2,1,1,1,1,0,laundry in bldg,detached garage,il
sacramento,1600,apartment,1067,2,2,1,1,1,0,w/d in unit,carport,ca
san diego,1701,apartment,663,1,1,1,1,1,0,w/d in unit,carport,ca
heartland florida,1075,apartment,924,2,2,0,0,1,0,NA,NA,fl
sacramento,2350,house,3389,4,3,0,0,0,0,w/d in unit,attached garage,ca
milwaukee,1295,apartment,1265,2,2,0,0,1,0,w/d in unit,attached garage,wi
lakeland,1055,apartment,856,2,1,1,1,1,0,w/d hookups,off-street parking,fl
northern panhandle,745,townhouse,820,2,1,1,1,0,0,laundry on site,off-street parking,oh
